interfaceFqn	status	reason	path
org.apache.hadoop.yarn.server.federation.store.records.SubClusterDeregisterRequestJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/store/records/SubClusterDeregisterRequestJVMInterface.java
org.apache.hadoop.yarn.api.protocolrecords.GetClusterNodeLabelsResponseJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetClusterNodeLabelsResponseJVMInterface.java
org.apache.hadoop.yarn.server.federation.store.records.SubClusterIdJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/store/records/SubClusterIdJVMInterface.java
org.apache.hadoop.service.CompositeServiceJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/service/CompositeServiceJVMInterface.java
org.apache.hadoop.metrics2.MetricsTagJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/metrics2/MetricsTagJVMInterface.java
org.apache.hadoop.yarn.api.protocolrecords.MoveApplicationAcrossQueuesResponseJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/MoveApplicationAcrossQueuesResponseJVMInterface.java
org.apache.hadoop.yarn.server.nodemanager.executor.ContainerSignalContextJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/executor/ContainerSignalContextJVMInterface.java
org.apache.hadoop.yarn.server.nodemanager.executor.ContainerStartContextJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/executor/ContainerStartContextJVMInterface.java
org.apache.hadoop.fs.FileStatusJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/FileStatusJVMInterface.java
org.apache.hadoop.yarn.api.ApplicationBaseProtocolJVMInterface	generated	ok	/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/ApplicationBaseProtocolJVMInterface.java
