interfaceFqn,originalClassFile,outcome,bridgesAdded,reason
org.apache.hadoop.yarn.api.protocolrecords.MoveApplicationAcrossQueuesRequestJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/MoveApplicationAcrossQueuesRequest.java,implemented,0,
org.apache.hadoop.yarn.api.protocolrecords.GetNewReservationRequestJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetNewReservationRequest.java,implemented,0,
org.apache.hadoop.yarn.api.protocolrecords.GetDelegationTokenResponseJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetDelegationTokenResponse.java,implemented,0,
org.apache.hadoop.yarn.api.protocolrecords.UpdateApplicationTimeoutsResponseJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/UpdateApplicationTimeoutsResponse.java,implemented,0,
org.apache.hadoop.yarn.api.protocolrecords.ReservationDeleteResponseJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/ReservationDeleteResponse.java,implemented,0,
org.apache.hadoop.yarn.api.protocolrecords.MoveApplicationAcrossQueuesResponseJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/MoveApplicationAcrossQueuesResponse.java,implemented,0,
org.apache.hadoop.yarn.api.protocolrecords.GetApplicationAttemptReportResponseJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetApplicationAttemptReportResponse.java,implemented,0,
org.apache.hadoop.yarn.api.protocolrecords.RegisterApplicationMasterRequestJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/RegisterApplicationMasterRequest.java,implemented,0,
org.apache.hadoop.yarn.api.protocolrecords.FailApplicationAttemptResponseJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/FailApplicationAttemptResponse.java,implemented,0,
org.apache.hadoop.yarn.api.protocolrecords.UpdateApplicationPriorityResponseJVMInterface,/home/shuai/xlab/upgrade_testing/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/UpdateApplicationPriorityResponse.java,implemented,0,
