interfaceFqn	originalClassFile	outcome	bridgesAdded	reason
org.apache.hadoop.yarn.api.records.ApplicationIdJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ApplicationId.java	implemented	0	
org.apache.hadoop.yarn.api.records.PreemptionMessageJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/PreemptionMessage.java	implemented	0	
org.apache.hadoop.yarn.api.records.ApplicationResourceUsageReportJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ApplicationResourceUsageReport.java	implemented	0	
org.apache.hadoop.yarn.api.records.ResourceBlacklistRequestJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ResourceBlacklistRequest.java	implemented	0	
org.apache.hadoop.yarn.api.records.NodeIdJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/NodeId.java	implemented	0	
org.apache.hadoop.yarn.api.records.ResourceUtilizationJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ResourceUtilization.java	implemented	0	
org.apache.hadoop.yarn.api.records.QueueStatisticsJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/QueueStatistics.java	implemented	0	
org.apache.hadoop.yarn.api.records.CollectorInfoJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/CollectorInfo.java	implemented	0	
org.apache.hadoop.yarn.api.records.QueueInfoJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/QueueInfo.java	implemented	0	
org.apache.hadoop.yarn.api.records.YarnClusterMetricsJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/YarnClusterMetrics.java	implemented	0	
org.apache.hadoop.yarn.api.records.ApplicationSubmissionContextJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ApplicationSubmissionContext.java	implemented	0	
org.apache.hadoop.yarn.api.records.ResourceRequestJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ResourceRequest.java	implemented	0	
org.apache.hadoop.yarn.api.records.ApplicationReportJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ApplicationReport.java	implemented	0	
org.apache.hadoop.yarn.api.records.ContainerLaunchContextJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ContainerLaunchContext.java	implemented	0	
org.apache.hadoop.yarn.api.records.ContainerRetryContextJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ContainerRetryContext.java	implemented	0	
org.apache.hadoop.yarn.api.records.ContainerIdJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ContainerId.java	implemented	0	
org.apache.hadoop.yarn.api.records.ContainerReportJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ContainerReport.java	implemented	0	
org.apache.hadoop.yarn.api.records.ResourceInformationJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ResourceInformation.java	implemented	0	
org.apache.hadoop.yarn.api.records.ContainerJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/Container.java	implemented	0	
org.apache.hadoop.yarn.api.records.ReservationDefinitionJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ReservationDefinition.java	implemented	0	
org.apache.hadoop.yarn.api.records.ApplicationAttemptReportJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ApplicationAttemptReport.java	implemented	0	
org.apache.hadoop.yarn.api.records.ReservationIdJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ReservationId.java	implemented	0	
org.apache.hadoop.yarn.api.records.LogAggregationContextJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/LogAggregationContext.java	implemented	0	
org.apache.hadoop.yarn.api.records.ApplicationAttemptIdJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ApplicationAttemptId.java	implemented	0	
org.apache.hadoop.yarn.api.records.ReservationRequestsJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ReservationRequests.java	implemented	0	
org.apache.hadoop.yarn.api.records.PreemptionContractJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/PreemptionContract.java	implemented	0	
org.apache.hadoop.yarn.api.records.TokenJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/Token.java	implemented	0	
org.apache.hadoop.yarn.api.records.NMTokenJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/NMToken.java	implemented	0	
org.apache.hadoop.yarn.api.records.ExecutionTypeRequestJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/ExecutionTypeRequest.java	implemented	0	
org.apache.hadoop.yarn.api.records.StrictPreemptionContractJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/StrictPreemptionContract.java	implemented	0	
org.apache.hadoop.yarn.api.records.PriorityJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/Priority.java	implemented	0	
org.apache.hadoop.yarn.api.records.ResourceJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/records/Resource.java	implemented	0	
org.apache.hadoop.yarn.api.ApplicationClientProtocolJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/ApplicationClientProtocol.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.yarn.api.ApplicationBaseProtocolJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/ApplicationBaseProtocol.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.yarn.api.ApplicationMasterProtocolJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/ApplicationMasterProtocol.java	skippedNoConcreteClass	0	no matching concrete declaration
org.apache.hadoop.yarn.api.protocolrecords.GetQueueInfoResponseJVMInterface	/Users/allenwang/xlab/hadoop-transform/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-api/src/main/java/org/apache/hadoop/yarn/api/protocolrecords/GetQueueInfoResponse.java	implemented	0	
